cntry,att_label,att_norm,vote_label,vote_norm,rule,same
BE,Agalev,agalev,PSC,psc,none,FALSE
BE,PVDA,pvda,PVDA-AE,pvda ae,acronym,TRUE
BE,Spirit,spirit,VU-ID,vu id,none,FALSE
BE,SP.A,sp a,VU-ID,vu id,none,FALSE
BE,SP.A,sp a,VLD,vld,none,FALSE
BE,Agalev,agalev,CVP,cvp,none,FALSE
BE,Agalev,agalev,VLD,vld,none,FALSE
BE,CD&V,cd v,VLD,vld,none,FALSE
BE,Vlaams Blok,vlaams blok,VLD,vld,none,FALSE
BE,N-VA,n va,VLD,vld,none,FALSE
BE,CD&V,cd v,Agalev,agalev,none,FALSE
BE,PS,ps,SP,sp,none,FALSE
BE,Vlaams Blok,vlaams blok,CVP,cvp,none,FALSE
BE,VLD,vld,CVP,cvp,none,FALSE
BE,CDH (PSC),cdh psc,Agalev,agalev,none,FALSE
BE,N-VA,n va,VU-ID,vu id,none,FALSE
BE,Spirit,spirit,VLD,vld,none,FALSE
BE,PVDA,pvda,VLD,vld,none,FALSE
BE,CD&V,cd v,VU-ID,vu id,none,FALSE
BE,VLD,vld,Vlaams Blok,vlaams blok,none,FALSE
BE,PVDA,pvda,SP,sp,none,FALSE
BE,VLD,vld,Agalev,agalev,none,FALSE
BE,SP.A,sp a,Agalev,agalev,none,FALSE
BE,Vlaams Blok,vlaams blok,SP,sp,none,FALSE
BE,N-VA,n va,N-VA,n va,exact,TRUE
BE,Open VLD,open vld,Open VLD,open vld,exact,TRUE
BE,Vlaams Belang,vlaams belang,Vlaams Belang,vlaams belang,exact,TRUE
BE,Ecolo,ecolo,Ecolo,ecolo,exact,TRUE
BE,PS,ps,Ecolo,ecolo,none,FALSE
BE,CD&V,cd v,CD&V,cd v,exact,TRUE
BE,PVDA,pvda,PVDA,pvda,exact,TRUE
BE,PTB,ptb,PTB,ptb,exact,TRUE
BE,PVDA,pvda,PTB,ptb,none,FALSE
BE,Groen!,groen,Groen!,groen,exact,TRUE
BE,MR,mr,MR,mr,exact,TRUE
BE,cdH (Les Engagés),cdh les engages,cdH (Les Engagés),cdh les engages,exact,TRUE
BE,DéFI,defi,DéFI,defi,exact,TRUE
BE,PTB,ptb,PS,ps,none,FALSE
BE,CD&V,cd v,N-VA,n va,none,FALSE
BE,Groen!,groen,Ecolo,ecolo,none,FALSE
BE,Ecolo,ecolo,MR,mr,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,Sp.a (Vooruit),sp a vooruit,exact,TRUE
BE,Open VLD,open vld,N-VA,n va,none,FALSE
BE,Vlaams Belang,vlaams belang,N-VA,n va,none,FALSE
BE,PVDA,pvda,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,Ecolo,ecolo,none,FALSE
BE,PVDA,pvda,Groen!,groen,none,FALSE
BE,Groen!,groen,N-VA,n va,none,FALSE
BE,PS,ps,PVDA,pvda,none,FALSE
BE,cdH (Les Engagés),cdh les engages,MR,mr,none,FALSE
BE,N-VA,n va,CD&V,cd v,none,FALSE
BE,N-VA,n va,Open VLD,open vld,none,FALSE
BE,CD&V,cd v,Vlaams Belang,vlaams belang,none,FALSE
BE,PTB,ptb,MR,mr,none,FALSE
BE,PVDA,pvda,Sp.a (Vooruit),sp a vooruit,none,FALSE
BE,Open VLD,open vld,CD&V,cd v,none,FALSE
BE,Groen!,groen,PVDA,pvda,none,FALSE
BE,N-VA,n va,Vlaams Belang,vlaams belang,none,FALSE
BE,PS,ps,cdH (Les Engagés),cdh les engages,none,FALSE
BE,PVDA,pvda,N-VA,n va,none,FALSE
BE,Open VLD,open vld,Vlaams Belang,vlaams belang,none,FALSE
BE,Groen!,groen,Open VLD,open vld,none,FALSE
BE,N-VA,n va,MR,mr,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,CD&V,cd v,none,FALSE
BE,Ecolo,ecolo,DéFI,defi,none,FALSE
BE,Ecolo,ecolo,Groen!,groen,none,FALSE
BE,Groen!,groen,CD&V,cd v,none,FALSE
BE,Groen!,groen,Sp.a (Vooruit),sp a vooruit,none,FALSE
BE,PTB,ptb,PVDA,pvda,none,FALSE
BE,MR,mr,cdH (Les Engagés),cdh les engages,none,FALSE
BE,Ecolo,ecolo,cdH (Les Engagés),cdh les engages,none,FALSE
BE,MR,mr,PS,ps,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,CD&V,cd v,none,FALSE
BE,cdH (Les Engagés),cdh les engages,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,Open VLD,open vld,none,FALSE
BE,cdH (Les Engagés),cdh les engages,Ecolo,ecolo,none,FALSE
BE,Vlaams Belang,vlaams belang,MR,mr,none,FALSE
BE,N-VA,n va,Groen!,groen,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,PVDA,pvda,none,FALSE
BE,Open VLD,open vld,Groen!,groen,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,N-VA,n va,none,FALSE
BE,PS,ps,MR,mr,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,Groen!,groen,none,FALSE
BE,Vlaams Belang,vlaams belang,PVDA,pvda,none,FALSE
BE,MR,mr,Ecolo,ecolo,none,FALSE
BE,CD&V,cd v,PS,ps,none,FALSE
BE,MR,mr,DéFI,defi,none,FALSE
BE,cdH (Les Engagés),cdh les engages,DéFI,defi,none,FALSE
BE,Ecolo,ecolo,PS,ps,none,FALSE
BE,PTB,ptb,Ecolo,ecolo,none,FALSE
BE,cdH (Les Engagés),cdh les engages,PS,ps,none,FALSE
BE,PVDA,pvda,Vlaams Belang,vlaams belang,none,FALSE
BE,PTB,ptb,cdH (Les Engagés),cdh les engages,none,FALSE
BE,DéFI,defi,Ecolo,ecolo,none,FALSE
BE,CD&V,cd v,Sp.a (Vooruit),sp a vooruit,none,FALSE
BE,PVDA,pvda,CD&V,cd v,none,FALSE
BE,Sp.a (Vooruit),sp a vooruit,Ecolo,ecolo,none,FALSE
BE,Open VLD,open vld,Sp.a (Vooruit),sp a vooruit,none,FALSE
BE,SP.A,sp a,SP.A-Spirit,sp a spirit,acronym,TRUE
BE,SP.A,sp a,Vivant,vivant,none,FALSE
BE,Agalev/Groen!,agalev groen,Agalev/Groen!,agalev groen,exact,TRUE
BE,Agalev/Groen!,agalev groen,SP.A-Spirit,sp a spirit,none,FALSE
BE,Agalev/Groen!,agalev groen,VLD,vld,none,FALSE
BE,Spirit,spirit,SP.A-Spirit,sp a spirit,contained,TRUE
BE,VLD,vld,SP.A-Spirit,sp a spirit,none,FALSE
BE,Spirit,spirit,Vlaams Blok,vlaams blok,none,FALSE
BE,Vivant,vivant,Vivant,vivant,exact,TRUE
BE,Spirit,spirit,Agalev/Groen!,agalev groen,none,FALSE
BE,N-VA,n va,Vlaams Blok,vlaams blok,none,FALSE
BE,CDH,cdh,CDH,cdh,exact,TRUE
BE,Front National,front national,Front National,front national,exact,TRUE
BE,MR,mr,Front National,front national,none,FALSE
BE,Vivant,vivant,SP.A-Spirit,sp a spirit,none,FALSE
BE,Agalev/Groen!,agalev groen,Ecolo,ecolo,none,FALSE
BE,SP.A,sp a,Agalev/Groen!,agalev groen,none,FALSE
BE,Vlaams Blok,vlaams blok,Agalev/Groen!,agalev groen,none,FALSE
BE,Ecolo,ecolo,CDH,cdh,none,FALSE
BE,Agalev/Groen!,agalev groen,N-VA,n va,none,FALSE
BE,CD&V,cd v,SP.A-Spirit,sp a spirit,none,FALSE
BE,Vivant,vivant,VLD,vld,none,FALSE
BE,Vlaams Blok,vlaams blok,CD&V,cd v,none,FALSE
BE,SP.A,sp a,Vlaams Blok,vlaams blok,none,FALSE
BE,Vlaams Blok,vlaams blok,SP.A-Spirit,sp a spirit,none,FALSE
BE,PS,ps,SP.A-Spirit,sp a spirit,none,FALSE
BE,VLD,vld,CD&V,cd v,none,FALSE
BE,N-VA,n va,SP.A-Spirit,sp a spirit,none,FALSE
BE,CDH,cdh,Ecolo,ecolo,none,FALSE
BE,CDH,cdh,PS,ps,none,FALSE
BE,Vlaams Blok,vlaams blok,CDH,cdh,none,FALSE
BE,CDH,cdh,MR,mr,none,FALSE
BE,MR,mr,CDH,cdh,none,FALSE
BE,PS,ps,Front National,front national,none,FALSE
BE,Agalev/Groen!,agalev groen,CD&V,cd v,none,FALSE
BE,VLD,vld,Agalev/Groen!,agalev groen,none,FALSE
BE,VLD,vld,N-VA,n va,none,FALSE
BE,CD&V,cd v,Agalev/Groen!,agalev groen,none,FALSE
BE,Vlaams Blok,vlaams blok,N-VA,n va,none,FALSE
BE,PS,ps,CDH,cdh,none,FALSE
BE,Front National,front national,PS,ps,none,FALSE
BE,PS,ps,N-VA,n va,none,FALSE
BE,Ecolo,ecolo,VLD,vld,none,FALSE
BE,MR,mr,CD&V,cd v,none,FALSE
BE,SP.A,sp a,CD&V,cd v,none,FALSE
BE,CD&V,cd v,CD&V + N-VA,cd v n va,acronym,TRUE
BE,SP.A.,sp a,SP.A. + Vlaams - Progressieven (Spirit),sp a vlaams progressieven spirit,acronym,TRUE
BE,CD&V,cd v,Open VLD + Vivant,open vld vivant,none,FALSE
BE,Groen!,groen,Open VLD + Vivant,open vld vivant,none,FALSE
BE,Open VLD,open vld,Open VLD + Vivant,open vld vivant,acronym,TRUE
BE,SP.A.,sp a,Vlaams Belang,vlaams belang,none,FALSE
BE,Groen!,groen,SP.A. + Vlaams - Progressieven (Spirit),sp a vlaams progressieven spirit,none,FALSE
BE,Lijst Dedecker,lijst dedecker,Lijst Dedecker,lijst dedecker,exact,TRUE
BE,Vlaams Belang,vlaams belang,CD&V + N-VA,cd v n va,none,FALSE
BE,SP.A.,sp a,Groen!,groen,none,FALSE
BE,Lijst Dedecker,lijst dedecker,Open VLD + Vivant,open vld vivant,none,FALSE
BE,Lijst Dedecker,lijst dedecker,Vlaams Belang,vlaams belang,none,FALSE
BE,Vlaams Belang,vlaams belang,Open VLD + Vivant,open vld vivant,none,FALSE
BE,N-VA,n va,CD&V + N-VA,cd v n va,acronym,TRUE
BE,Open VLD,open vld,Lijst Dedecker,lijst dedecker,none,FALSE
BE,CD&V,cd v,Groen!,groen,none,FALSE
BE,CD&V,cd v,SP.A. + Vlaams - Progressieven (Spirit),sp a vlaams progressieven spirit,none,FALSE
BE,Lijst Dedecker,lijst dedecker,CD&V + N-VA,cd v n va,none,FALSE
BE,Groen!,groen,CD&V + N-VA,cd v n va,none,FALSE
BE,Open VLD,open vld,CD&V + N-VA,cd v n va,none,FALSE
