source,country_unit,country_iso3,year,share_attached,share_not_attached,share_dk_refused,share_not_asked,n_raw,n_eff,w_total,reliable,lower,upper
CSES IMD,AUT,AUT,2008,0.7124463519313304,0.27639484978540774,0.006008583690987125,0.005150214592274678,1165,1165,1165,TRUE,0.6857901274968932,0.7377060930346142
CSES IMD,AUT,AUT,2013,0.608,0.38,0.012,0,1000,1000,1000,TRUE,0.57738307724637306,0.6377903126589666
CSES IMD,AUT,AUT,2017,0.7389858686616791,0.2485453034081463,0.012468827930174564,0,1203,1203,1203,TRUE,0.7134346151501925,0.7630156497395826
CSES IMD,BEL,BEL,1999,0.8531436438733364,0.04589261128958238,0,0.10096374483708123,2179,2179,2179,TRUE,0.8376599650770513,0.8673843221492872
CSES IMD,BEL,BEL,2003,0.34876404494382024,0.6170786516853932,0.03415730337078652,0,2225,2225,2225,TRUE,0.3292372921179503,0.3688121340952001
CSES IMD,BEL,BEL,2019,0.639470782800441,0.2965821389195149,0,0.0639470782800441,1814,1814,1814,TRUE,0.6171012133519451,0.6612508718902455
CSES IMD,BGR,BGR,2001,0.6875843454790823,0.3124156545209177,0,0,1482,1482,1482,TRUE,0.6635276386057942,0.7106710646745553
CSES IMD,BGR,BGR,2014,0.5495495495495496,0.43243243243243246,0.018018018018018018,0,999,999,999,TRUE,0.518565102184391,0.5801543765448521
CSES IMD,CZE,CZE,1996,0.7298616761594793,0.1855166802278275,0.08299430431244914,0.0016273393002441008,1229,1229,1229,TRUE,0.7043485335854826,0.7539422963151309
CSES IMD,CZE,CZE,2002,0.6350210970464135,0.2742616033755274,0.07067510548523206,0.020042194092827006,948,948,948,TRUE,0.6038867808198163,0.6650655322541237
CSES IMD,CZE,CZE,2006,0.5894105894105894,0.3516483516483517,0.058941058941058944,0,2002,2002,2002,TRUE,0.5677098305122892,0.6107688689024602
CSES IMD,CZE,CZE,2010,0.5476575121163166,0.39579967689822293,0.05654281098546042,0,1857,1857,1857,TRUE,0.5249442768512627,0.5701739750192889
CSES IMD,CZE,CZE,2013,0.47005444646098005,0.48154869933454325,0.045372050816696916,0.0030248033877797943,1653,1653,1653,TRUE,0.44609092826042474,0.49415682988374554
CSES IMD,CZE,CZE,2017,0.5285439384220654,0.39961513790891595,0.0718409236690186,0,1559,1559,1559,TRUE,0.5037245561357134,0.5532229937631373
CSES IMD,CZE,CZE,2021,0.5140939597315436,0.44093959731543625,0.04496644295302014,0,1490,1490,1490,TRUE,0.48871217000444117,0.5394032607078914
CSES IMD,DEU,DEU,1998,0.6746266028005539,0.31360352461221225,0.011048538354659597,7.213342325742236e-4,2019,1411.4676630541665,2019.0363,TRUE,0.6497388311931194,0.6985663899994485
CSES IMD,DEU,DEU,2002,0.751334769463526,0.2367993597420126,0.0014482151922073983,0.010417655602254081,3023,1770.1626503826358,3023.0314,TRUE,0.7306689308851982,0.7709120789132872
